MaNGAID,OBJRA,OBJDEC
1-122067,120.895891577,38.1323246785
1-122088,121.678266567,39.0902156651
1-122094,121.244031648,38.2676957413
1-122111,121.800741247,38.2563612267
1-122119,121.88361,38.55001
1-122125,122.040031781,37.9213571348
1-122138,122.303250785,38.0177069537
1-122139,122.323241339,38.3369384918
1-122141,122.527402835,38.0170889262
1-122151,122.135232892,38.9053417382
1-122197,123.638301433,38.5447857357
1-122203,123.39634786,38.9283986605
1-122206,123.591747728,39.2513462898
1-122258,122.330865344,38.9419786271
1-122284,122.08452395,39.0236299957
1-122304,121.920806254,39.0042388809
1-122310,122.118199278,38.1518625278
1-122329,122.615495462,40.4306332562
1-122333,122.126792949,39.8931116326
1-122334,122.384302698,39.8879265787
1-122341,122.755264106,40.0568759253
1-122361,122.380643684,39.801879834
1-122364,123.087441795,40.6074306527
1-122388,123.061504897,39.7824655654
1-122400,123.191882352,39.3565351369
1-122412,123.30134025,40.4195406192
1-122507,125.059232699,40.6668030187
1-122535,124.672202647,40.1362967073
1-122586,123.172968253,40.4145744569
1-122595,122.972416583,40.230077419
1-122611,123.453117209,41.6494790245
1-122623,123.801912144,41.2146716573
1-122625,123.782607871,41.0995597522
1-122708,125.527645553,41.5090793057
1-122711,125.4594,41.876266
1-122783,126.648895962,41.0849826648
1-122869,125.233090842,41.1343286135
1-122919,126.71268359,43.6017189071
1-122926,126.289028377,42.3002736068
1-122990,127.63630141,42.9911746645
1-123021,129.733469875,43.4312168656
1-123041,129.095996405,43.4735167949
1-123075,129.37292008,43.8693536475
1-123109,128.698307457,43.7270636429
1-123171,127.800636778,43.6995772536
1-123178,127.823502328,43.463286778
1-123185,127.474767382,43.9702809035
1-123194,127.024478063,44.766756573
1-123195,127.796397595,44.6931705365
1-123217,128.473791951,44.8821564751
1-123252,128.166254541,44.3476870645
1-123255,128.316183998,44.049277626
1-123263,129.171011759,45.0969721629
1-123264,129.146485344,45.0210510403
1-123273,128.520167245,44.3272172592
1-123312,129.285155639,45.1649616715
1-123328,129.550307731,44.8071695466
1-1243,150.717006204,0.0687372189012
1-124604,141.34417921,50.5536812778
1-1258,150.541431096,-0.189241255394
1-1278,150.517055658,0.687529144448
1-130947,225.350725794,54.9592567058
1-131060,224.546901998,57.0009641092
1-131087,224.567548246,56.0703287351
1-131242,225.677220289,54.6385949393
1-131263,225.33606669,54.6158478754
1-131278,225.167636906,55.4887226458
